# Shot Clock Trainer — timings.csv
#
# Each row maps a YouTube video timestamp to a game event.
#
# Columns:
#   video_time  — seconds from the start of the YouTube video
#   event_type  — one of:
#                   QuarterStart    (quarter begins; set game_clock to full quarter length)
#                   QuarterEnd      (quarter ends)
#                   GameClockStart  (clock starts running)
#                   GameClockStop   (clock stops: dead ball, timeout, etc.)
#                   ShotClockStart  (shot clock begins counting)
#                   ShotClockStop   (shot clock stops with time remaining)
#                   ShotClockReset24 (shot clock reset to 24 seconds)
#                   ShotClockReset14 (shot clock reset to 14 seconds)
#   quarter     — 1, 2, 3, or 4
#   game_clock  — remaining time in quarter as MM:SS (e.g. 11:45)
#   shot_clock  — shot clock value in seconds (decimal ok); blank if not applicable
#   notes       — short description of the event/rule (e.g. "Turnover", "Shooting Foul")
#                 displayed on screen when the event fires; blank to show nothing
#
# Replace the sample rows below with the actual timecodes for this video.
#
video_time,event_type,quarter,game_clock,shot_clock,notes
854,ShotClockStop,2,08:16,,Score
854,ShotClockReset24,2,08:16,24,
856,ShotClockStart,2,08:14,,
872,ShotClockStop,2,07:58,,Ball Hit Ring
872,ShotClockReset14,2,07:58,14,Recovered by Offense
872,ShotClockStart,2,07:58,,
874,ShotClockStop,2,07:56,,Score
874,ShotClockReset24,2,07:56,24,
876,ShotClockStart,2,07:54,,
892,ShotClockStop,2,07:38,,Ball Hit Ring
893,ShotClockReset24,2,07:37,,Recovered by Defence
893,ShotClockStart,2,07:37,,
902,ShotClockStop,2,07:28,,Score
902,ShotClockReset24,2,07:28,24,
905,GameClockStop,2,07:25,,Timeout
920,GameClockStart,2,07:25,,
920,ShotClockStart,2,07:25,,
935,ShotClockStop,2,07:10,,Score
935,ShotClockReset24,2,07:10,24,
937,ShotClockStart,2,07:08,,
948,ShotClockReset24,2,06:57,24,Turnover
956,ShotClockStop,2,06:49,,Ball Hit Ring
958,ShotClockReset14,2,06:47,14,Recovered by Offense
958,ShotClockStart,2,06:47,,
962,ShotClockReset24,2,06:43,,Turnover
966,ShotClockStop,2,06:39,,Score
966,ShotClockReset24,2,06:39,24,
969,ShotClockStart,2,06:36,,
982,ShotClockStop,2,06:23,,Score
982,ShotClockReset24,2,06:23,24,
985,ShotClockStart,2,06:20,,
998,ShotClockReset24,2,06:07,24,Turnover
1008,ShotClockStop,2,05:57,,Ball Hit Ring
1011,ShotClockReset24,2,05:54,,Recovered by Defense
1011,ShotClockStart,2,05:54,,
1020,ShotClockStop,2,05:45,,Score
1020,ShotClockReset24,2,05:45,,
1022,ShotClockStart,2,05:43,,
1037,ShotClockStop,2,05:28,,Score
1037,ShotClockReset24,2,05:28,24,
1039,ShotClockStart,2,05:26,,
1060,ShotClockReset24,2,05:05,24,Turnover
1069,ShotClockStop,2,04:56,,Score
1069,ShotClockReset24,2,04:56,24,
1072,GameClockStop,2,04:53,,Timeout
1079,GameClockStart,2,04:53,,
1079,ShotClockStart,2,04:53,,
1100,ShotClockStop,2,04:32,,Ball Hit Ring
1102,ShotClockReset24,2,04:30,24,Recovered by Defence
1102,ShotClockStart,2,04:30,,
1111,ShotClockStop,2,04:21,,Score
1111,ShotClockReset24,2,04:21,24,
1115,ShotClockStart,2,04:17,,
1116,GameClockStop,2,04:16,,Out of Bounds Turnover
1116,ShotClockStop,2,04:16,,
1116,ShotClockReset24,2,04:16,24,
1133,GameClockStart,2,04:16,,
1133,ShotClockStart,2,04:16,,
1144,ShotClockStop,2,04:05,,Ball Hit Ring
